2022-02-21 22:56:46 startup archives install
2022-02-21 22:57:47 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:47 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:47 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:49 startup archives unpack
2022-02-21 22:57:49 upgrade libext2fs2:amd64 1.45.5-2ubuntu1 1.45.5-2ubuntu1
2022-02-21 22:57:49 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:49 status half-configured libext2fs2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:49 status unpacked libext2fs2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:49 status half-installed libext2fs2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:49 status unpacked libext2fs2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:49 startup packages configure
2022-02-21 22:57:49 configure libext2fs2:amd64 1.45.5-2ubuntu1 <none>
2022-02-21 22:57:49 status unpacked libext2fs2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:49 status half-configured libext2fs2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:49 status installed libext2fs2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:49 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:49 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:49 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:50 startup archives unpack
2022-02-21 22:57:50 upgrade libfdisk1:amd64 2.34-0.1ubuntu9 2.34-0.1ubuntu9
2022-02-21 22:57:50 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:50 status half-configured libfdisk1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:50 status unpacked libfdisk1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:50 status half-installed libfdisk1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:50 status unpacked libfdisk1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:50 startup packages configure
2022-02-21 22:57:50 configure libfdisk1:amd64 2.34-0.1ubuntu9 <none>
2022-02-21 22:57:50 status unpacked libfdisk1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:50 status half-configured libfdisk1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:50 status installed libfdisk1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:50 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:50 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:50 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:51 startup archives unpack
2022-02-21 22:57:51 upgrade libffi7:amd64 3.3-4 3.3-4
2022-02-21 22:57:51 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:51 status half-configured libffi7:amd64 3.3-4
2022-02-21 22:57:51 status unpacked libffi7:amd64 3.3-4
2022-02-21 22:57:51 status half-installed libffi7:amd64 3.3-4
2022-02-21 22:57:52 status unpacked libffi7:amd64 3.3-4
2022-02-21 22:57:52 startup packages configure
2022-02-21 22:57:52 configure libffi7:amd64 3.3-4 <none>
2022-02-21 22:57:52 status unpacked libffi7:amd64 3.3-4
2022-02-21 22:57:52 status half-configured libffi7:amd64 3.3-4
2022-02-21 22:57:52 status installed libffi7:amd64 3.3-4
2022-02-21 22:57:52 startup packages configure
2022-02-21 22:57:52 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:52 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:52 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:53 startup archives unpack
2022-02-21 22:57:53 upgrade libgcc-s1:amd64 10-20200411-0ubuntu1 10-20200411-0ubuntu1
2022-02-21 22:57:53 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:53 status half-configured libgcc-s1:amd64 10-20200411-0ubuntu1
2022-02-21 22:57:53 status unpacked libgcc-s1:amd64 10-20200411-0ubuntu1
2022-02-21 22:57:53 status half-installed libgcc-s1:amd64 10-20200411-0ubuntu1
2022-02-21 22:57:53 status unpacked libgcc-s1:amd64 10-20200411-0ubuntu1
2022-02-21 22:57:53 startup packages configure
2022-02-21 22:57:53 configure libgcc-s1:amd64 10-20200411-0ubuntu1 <none>
2022-02-21 22:57:53 status unpacked libgcc-s1:amd64 10-20200411-0ubuntu1
2022-02-21 22:57:53 status half-configured libgcc-s1:amd64 10-20200411-0ubuntu1
2022-02-21 22:57:53 status installed libgcc-s1:amd64 10-20200411-0ubuntu1
2022-02-21 22:57:53 startup packages configure
2022-02-21 22:57:53 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:53 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:53 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:54 startup archives unpack
2022-02-21 22:57:54 upgrade libgcrypt20:amd64 1.8.5-5ubuntu1 1.8.5-5ubuntu1
2022-02-21 22:57:54 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:54 status half-configured libgcrypt20:amd64 1.8.5-5ubuntu1
2022-02-21 22:57:54 status unpacked libgcrypt20:amd64 1.8.5-5ubuntu1
2022-02-21 22:57:54 status half-installed libgcrypt20:amd64 1.8.5-5ubuntu1
2022-02-21 22:57:54 status unpacked libgcrypt20:amd64 1.8.5-5ubuntu1
2022-02-21 22:57:55 startup packages configure
2022-02-21 22:57:55 configure libgcrypt20:amd64 1.8.5-5ubuntu1 <none>
2022-02-21 22:57:55 status unpacked libgcrypt20:amd64 1.8.5-5ubuntu1
2022-02-21 22:57:55 status half-configured libgcrypt20:amd64 1.8.5-5ubuntu1
2022-02-21 22:57:55 status installed libgcrypt20:amd64 1.8.5-5ubuntu1
2022-02-21 22:57:55 startup packages configure
2022-02-21 22:57:55 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:55 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:55 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:56 startup archives unpack
2022-02-21 22:57:56 upgrade libgmp10:amd64 2:6.2.0+dfsg-4 2:6.2.0+dfsg-4
2022-02-21 22:57:56 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:56 status half-configured libgmp10:amd64 2:6.2.0+dfsg-4
2022-02-21 22:57:56 status unpacked libgmp10:amd64 2:6.2.0+dfsg-4
2022-02-21 22:57:56 status half-installed libgmp10:amd64 2:6.2.0+dfsg-4
2022-02-21 22:57:56 status unpacked libgmp10:amd64 2:6.2.0+dfsg-4
2022-02-21 22:57:56 startup packages configure
2022-02-21 22:57:56 configure libgmp10:amd64 2:6.2.0+dfsg-4 <none>
2022-02-21 22:57:56 status unpacked libgmp10:amd64 2:6.2.0+dfsg-4
2022-02-21 22:57:56 status half-configured libgmp10:amd64 2:6.2.0+dfsg-4
2022-02-21 22:57:56 status installed libgmp10:amd64 2:6.2.0+dfsg-4
2022-02-21 22:57:56 startup packages configure
2022-02-21 22:57:56 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:56 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:56 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:57 startup archives unpack
2022-02-21 22:57:57 upgrade libgnutls30:amd64 3.6.13-2ubuntu1 3.6.13-2ubuntu1
2022-02-21 22:57:57 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:57 status half-configured libgnutls30:amd64 3.6.13-2ubuntu1
2022-02-21 22:57:57 status unpacked libgnutls30:amd64 3.6.13-2ubuntu1
2022-02-21 22:57:57 status half-installed libgnutls30:amd64 3.6.13-2ubuntu1
2022-02-21 22:57:57 status unpacked libgnutls30:amd64 3.6.13-2ubuntu1
2022-02-21 22:57:57 startup packages configure
2022-02-21 22:57:57 configure libgnutls30:amd64 3.6.13-2ubuntu1 <none>
2022-02-21 22:57:57 status unpacked libgnutls30:amd64 3.6.13-2ubuntu1
2022-02-21 22:57:57 status half-configured libgnutls30:amd64 3.6.13-2ubuntu1
2022-02-21 22:57:57 status installed libgnutls30:amd64 3.6.13-2ubuntu1
2022-02-21 22:57:58 startup packages configure
2022-02-21 22:57:58 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:58 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:58 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:59 startup archives unpack
2022-02-21 22:57:59 upgrade libgpg-error0:amd64 1.37-1 1.37-1
2022-02-21 22:57:59 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:59 status half-configured libgpg-error0:amd64 1.37-1
2022-02-21 22:57:59 status unpacked libgpg-error0:amd64 1.37-1
2022-02-21 22:57:59 status half-installed libgpg-error0:amd64 1.37-1
2022-02-21 22:57:59 status unpacked libgpg-error0:amd64 1.37-1
2022-02-21 22:57:59 startup packages configure
2022-02-21 22:57:59 configure libgpg-error0:amd64 1.37-1 <none>
2022-02-21 22:57:59 status unpacked libgpg-error0:amd64 1.37-1
2022-02-21 22:57:59 status half-configured libgpg-error0:amd64 1.37-1
2022-02-21 22:57:59 status installed libgpg-error0:amd64 1.37-1
2022-02-21 22:57:59 startup packages configure
2022-02-21 22:57:59 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:59 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:59 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:00 startup archives unpack
2022-02-21 22:58:00 upgrade libhogweed5:amd64 3.5.1+really3.5.1-2 3.5.1+really3.5.1-2
2022-02-21 22:58:00 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:00 status half-configured libhogweed5:amd64 3.5.1+really3.5.1-2
2022-02-21 22:58:00 status unpacked libhogweed5:amd64 3.5.1+really3.5.1-2
2022-02-21 22:58:00 status half-installed libhogweed5:amd64 3.5.1+really3.5.1-2
2022-02-21 22:58:00 status unpacked libhogweed5:amd64 3.5.1+really3.5.1-2
2022-02-21 22:58:00 startup packages configure
2022-02-21 22:58:00 configure libhogweed5:amd64 3.5.1+really3.5.1-2 <none>
2022-02-21 22:58:00 status unpacked libhogweed5:amd64 3.5.1+really3.5.1-2
2022-02-21 22:58:00 status half-configured libhogweed5:amd64 3.5.1+really3.5.1-2
2022-02-21 22:58:00 status installed libhogweed5:amd64 3.5.1+really3.5.1-2
2022-02-21 22:58:00 startup packages configure
2022-02-21 22:58:00 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:58:00 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:00 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:02 startup archives unpack
2022-02-21 22:58:02 upgrade libidn2-0:amd64 2.2.0-2 2.2.0-2
2022-02-21 22:58:02 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:02 status half-configured libidn2-0:amd64 2.2.0-2
2022-02-21 22:58:02 status unpacked libidn2-0:amd64 2.2.0-2
2022-02-21 22:58:02 status half-installed libidn2-0:amd64 2.2.0-2
2022-02-21 22:58:02 status unpacked libidn2-0:amd64 2.2.0-2
2022-02-21 22:58:02 startup packages configure
2022-02-21 22:58:02 configure libidn2-0:amd64 2.2.0-2 <none>
2022-02-21 22:58:02 status unpacked libidn2-0:amd64 2.2.0-2
2022-02-21 22:58:02 status half-configured libidn2-0:amd64 2.2.0-2
2022-02-21 22:58:02 status installed libidn2-0:amd64 2.2.0-2
2022-02-21 22:58:02 startup packages configure
2022-02-21 22:58:02 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:58:02 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:02 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:03 startup archives unpack
2022-02-21 22:58:03 upgrade liblz4-1:amd64 1.9.2-2 1.9.2-2
2022-02-21 22:58:03 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:03 status half-configured liblz4-1:amd64 1.9.2-2
2022-02-21 22:58:03 status unpacked liblz4-1:amd64 1.9.2-2
2022-02-21 22:58:03 status half-installed liblz4-1:amd64 1.9.2-2
2022-02-21 22:58:03 status unpacked liblz4-1:amd64 1.9.2-2
2022-02-21 22:58:03 startup packages configure
2022-02-21 22:58:03 configure liblz4-1:amd64 1.9.2-2 <none>
2022-02-21 22:58:03 status unpacked liblz4-1:amd64 1.9.2-2
2022-02-21 22:58:03 status half-configured liblz4-1:amd64 1.9.2-2
2022-02-21 22:58:03 status installed liblz4-1:amd64 1.9.2-2
2022-02-21 22:58:03 startup packages configure
2022-02-21 22:58:03 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:58:03 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:03 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:05 startup archives unpack
2022-02-21 22:58:05 upgrade liblzma5:amd64 5.2.4-1 5.2.4-1
2022-02-21 22:58:05 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:05 status half-configured liblzma5:amd64 5.2.4-1
2022-02-21 22:58:05 status unpacked liblzma5:amd64 5.2.4-1
2022-02-21 22:58:05 status half-installed liblzma5:amd64 5.2.4-1
2022-02-21 22:58:05 status unpacked liblzma5:amd64 5.2.4-1
2022-02-21 22:58:05 startup packages configure
2022-02-21 22:58:05 configure liblzma5:amd64 5.2.4-1 <none>
2022-02-21 22:58:05 status unpacked liblzma5:amd64 5.2.4-1
2022-02-21 22:58:05 status half-configured liblzma5:amd64 5.2.4-1
2022-02-21 22:58:05 status installed liblzma5:amd64 5.2.4-1
2022-02-21 22:58:05 startup packages configure
2022-02-21 22:58:05 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:58:05 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:05 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:06 startup archives unpack
2022-02-21 22:58:06 upgrade libmount1:amd64 2.34-0.1ubuntu9 2.34-0.1ubuntu9
2022-02-21 22:58:06 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:06 status half-configured libmount1:amd64 2.34-0.1ubuntu9
2022-02-21 22:58:06 status unpacked libmount1:amd64 2.34-0.1ubuntu9
2022-02-21 22:58:06 status half-installed libmount1:amd64 2.34-0.1ubuntu9
2022-02-21 22:58:06 status unpacked libmount1:amd64 2.34-0.1ubuntu9
2022-02-21 22:58:06 startup packages configure
2022-02-21 22:58:06 configure libmount1:amd64 2.34-0.1ubuntu9 <none>
2022-02-21 22:58:06 status unpacked libmount1:amd64 2.34-0.1ubuntu9
2022-02-21 22:58:06 status half-configured libmount1:amd64 2.34-0.1ubuntu9
2022-02-21 22:58:06 status installed libmount1:amd64 2.34-0.1ubuntu9
2022-02-21 22:58:06 startup packages configure
2022-02-21 22:58:06 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:58:06 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:06 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:07 startup archives unpack
2022-02-21 22:58:07 upgrade libncurses6:amd64 6.2-0ubuntu2 6.2-0ubuntu2
2022-02-21 22:58:07 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:07 status half-configured libncurses6:amd64 6.2-0ubuntu2
2022-02-21 22:58:07 status unpacked libncurses6:amd64 6.2-0ubuntu2
2022-02-21 22:58:07 status half-installed libncurses6:amd64 6.2-0ubuntu2
2022-02-21 22:58:07 status unpacked libncurses6:amd64 6.2-0ubuntu2
2022-02-21 22:58:08 startup packages configure
2022-02-21 22:58:08 configure libncurses6:amd64 6.2-0ubuntu2 <none>
2022-02-21 22:58:08 status unpacked libncurses6:amd64 6.2-0ubuntu2
2022-02-21 22:58:08 status half-configured libncurses6:amd64 6.2-0ubuntu2
2022-02-21 22:58:08 status installed libncurses6:amd64 6.2-0ubuntu2
2022-02-21 22:58:08 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:58:08 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:08 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:09 startup archives unpack
2022-02-21 22:58:09 upgrade libncursesw6:amd64 6.2-0ubuntu2 6.2-0ubuntu2
2022-02-21 22:58:09 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:09 status half-configured libncursesw6:amd64 6.2-0ubuntu2
2022-02-21 22:58:09 status unpacked libncursesw6:amd64 6.2-0ubuntu2
2022-02-21 22:58:09 status half-installed libncursesw6:amd64 6.2-0ubuntu2
2022-02-21 22:58:09 status unpacked libncursesw6:amd64 6.2-0ubuntu2
2022-02-21 22:58:09 startup packages configure
2022-02-21 22:58:09 configure libncursesw6:amd64 6.2-0ubuntu2 <none>
2022-02-21 22:58:09 status unpacked libncursesw6:amd64 6.2-0ubuntu2
2022-02-21 22:58:09 status half-configured libncursesw6:amd64 6.2-0ubuntu2
2022-02-21 22:58:09 status installed libncursesw6:amd64 6.2-0ubuntu2
2022-02-21 22:58:09 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:58:09 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:09 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:10 startup archives unpack
2022-02-21 22:58:10 upgrade libnettle7:amd64 3.5.1+really3.5.1-2 3.5.1+really3.5.1-2
2022-02-21 22:58:10 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:10 status half-configured libnettle7:amd64 3.5.1+really3.5.1-2
2022-02-21 22:58:10 status unpacked libnettle7:amd64 3.5.1+really3.5.1-2
2022-02-21 22:58:10 status half-installed libnettle7:amd64 3.5.1+really3.5.1-2
2022-02-21 22:58:10 status unpacked libnettle7:amd64 3.5.1+really3.5.1-2
2022-02-21 22:58:10 startup packages configure
2022-02-21 22:58:10 configure libnettle7:amd64 3.5.1+really3.5.1-2 <none>
2022-02-21 22:58:10 status unpacked libnettle7:amd64 3.5.1+really3.5.1-2
2022-02-21 22:58:10 status half-configured libnettle7:amd64 3.5.1+really3.5.1-2
2022-02-21 22:58:10 status installed libnettle7:amd64 3.5.1+really3.5.1-2
2022-02-21 22:58:10 startup packages configure
2022-02-21 22:58:10 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:58:10 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:10 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:11 startup archives unpack
2022-02-21 22:58:11 upgrade libp11-kit0:amd64 0.23.20-1build1 0.23.20-1build1
2022-02-21 22:58:11 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:11 status half-configured libp11-kit0:amd64 0.23.20-1build1
2022-02-21 22:58:11 status unpacked libp11-kit0:amd64 0.23.20-1build1
2022-02-21 22:58:11 status half-installed libp11-kit0:amd64 0.23.20-1build1
2022-02-21 22:58:12 status unpacked libp11-kit0:amd64 0.23.20-1build1
2022-02-21 22:58:12 startup packages configure
2022-02-21 22:58:12 configure libp11-kit0:amd64 0.23.20-1build1 <none>
2022-02-21 22:58:12 status unpacked libp11-kit0:amd64 0.23.20-1build1
2022-02-21 22:58:12 status half-configured libp11-kit0:amd64 0.23.20-1build1
2022-02-21 22:58:12 status installed libp11-kit0:amd64 0.23.20-1build1
2022-02-21 22:58:12 startup packages configure
2022-02-21 22:58:12 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:58:12 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:12 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:13 startup archives unpack
2022-02-21 22:58:13 upgrade libpam-modules:amd64 1.3.1-5ubuntu4 1.3.1-5ubuntu4
2022-02-21 22:58:13 status half-configured libpam-modules:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:13 status unpacked libpam-modules:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:13 status half-installed libpam-modules:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:13 status unpacked libpam-modules:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:13 startup packages configure
2022-02-21 22:58:13 configure libpam-modules:amd64 1.3.1-5ubuntu4 <none>
2022-02-21 22:58:13 status unpacked libpam-modules:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:13 status half-configured libpam-modules:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:13 status installed libpam-modules:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:13 startup packages configure
2022-02-21 22:58:15 startup archives unpack
2022-02-21 22:58:15 upgrade libpam-modules-bin:amd64 1.3.1-5ubuntu4 1.3.1-5ubuntu4
2022-02-21 22:58:15 status half-configured libpam-modules-bin:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:15 status unpacked libpam-modules-bin:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:15 status half-installed libpam-modules-bin:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:15 status unpacked libpam-modules-bin:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:15 startup packages configure
2022-02-21 22:58:15 configure libpam-modules-bin:amd64 1.3.1-5ubuntu4 <none>
2022-02-21 22:58:15 status unpacked libpam-modules-bin:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:15 status half-configured libpam-modules-bin:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:15 status installed libpam-modules-bin:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:15 startup packages configure
2022-02-21 22:58:16 startup archives unpack
2022-02-21 22:58:16 upgrade libpam-runtime:all 1.3.1-5ubuntu4 1.3.1-5ubuntu4
2022-02-21 22:58:16 status half-configured libpam-runtime:all 1.3.1-5ubuntu4
2022-02-21 22:58:16 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2022-02-21 22:58:16 status half-installed libpam-runtime:all 1.3.1-5ubuntu4
2022-02-21 22:58:16 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2022-02-21 22:58:16 startup packages configure
2022-02-21 22:58:16 configure libpam-runtime:all 1.3.1-5ubuntu4 <none>
2022-02-21 22:58:16 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2022-02-21 22:58:16 status half-configured libpam-runtime:all 1.3.1-5ubuntu4
2022-02-21 22:58:16 status installed libpam-runtime:all 1.3.1-5ubuntu4
2022-02-21 22:58:17 startup packages configure
2022-02-21 22:58:18 startup archives unpack
2022-02-21 22:58:18 upgrade libpam0g:amd64 1.3.1-5ubuntu4 1.3.1-5ubuntu4
2022-02-21 22:58:18 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:18 status half-configured libpam0g:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:18 status unpacked libpam0g:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:18 status half-installed libpam0g:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:18 status unpacked libpam0g:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:18 startup packages configure
2022-02-21 22:58:18 configure libpam0g:amd64 1.3.1-5ubuntu4 <none>
2022-02-21 22:58:18 status unpacked libpam0g:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:18 status half-configured libpam0g:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:18 status installed libpam0g:amd64 1.3.1-5ubuntu4
2022-02-21 22:58:18 startup packages configure
2022-02-21 22:58:18 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:58:18 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:18 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:19 startup archives unpack
2022-02-21 22:58:19 upgrade libpcre2-8-0:amd64 10.34-7 10.34-7
2022-02-21 22:58:19 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:19 status half-configured libpcre2-8-0:amd64 10.34-7
2022-02-21 22:58:19 status unpacked libpcre2-8-0:amd64 10.34-7
2022-02-21 22:58:19 status half-installed libpcre2-8-0:amd64 10.34-7
2022-02-21 22:58:19 status unpacked libpcre2-8-0:amd64 10.34-7
2022-02-21 22:58:19 startup packages configure
2022-02-21 22:58:19 configure libpcre2-8-0:amd64 10.34-7 <none>
2022-02-21 22:58:19 status unpacked libpcre2-8-0:amd64 10.34-7
2022-02-21 22:58:19 status half-configured libpcre2-8-0:amd64 10.34-7
2022-02-21 22:58:19 status installed libpcre2-8-0:amd64 10.34-7
2022-02-21 22:58:19 startup packages configure
2022-02-21 22:58:19 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:58:19 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:19 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:21 startup archives unpack
2022-02-21 22:58:21 upgrade libpcre3:amd64 2:8.39-12build1 2:8.39-12build1
2022-02-21 22:58:21 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:21 status half-configured libpcre3:amd64 2:8.39-12build1
2022-02-21 22:58:21 status unpacked libpcre3:amd64 2:8.39-12build1
2022-02-21 22:58:21 status half-installed libpcre3:amd64 2:8.39-12build1
2022-02-21 22:58:21 status unpacked libpcre3:amd64 2:8.39-12build1
2022-02-21 22:58:21 startup packages configure
2022-02-21 22:58:21 configure libpcre3:amd64 2:8.39-12build1 <none>
2022-02-21 22:58:21 status unpacked libpcre3:amd64 2:8.39-12build1
2022-02-21 22:58:21 status half-configured libpcre3:amd64 2:8.39-12build1
2022-02-21 22:58:21 status installed libpcre3:amd64 2:8.39-12build1
2022-02-21 22:58:21 startup packages configure
2022-02-21 22:58:21 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:58:21 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:21 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:22 startup archives unpack
2022-02-21 22:58:22 upgrade libprocps8:amd64 2:3.3.16-1ubuntu2 2:3.3.16-1ubuntu2
2022-02-21 22:58:22 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:22 status half-configured libprocps8:amd64 2:3.3.16-1ubuntu2
2022-02-21 22:58:22 status unpacked libprocps8:amd64 2:3.3.16-1ubuntu2
2022-02-21 22:58:22 status half-installed libprocps8:amd64 2:3.3.16-1ubuntu2
2022-02-21 22:58:22 status unpacked libprocps8:amd64 2:3.3.16-1ubuntu2
2022-02-21 22:58:22 startup packages configure
2022-02-21 22:58:22 configure libprocps8:amd64 2:3.3.16-1ubuntu2 <none>
2022-02-21 22:58:22 status unpacked libprocps8:amd64 2:3.3.16-1ubuntu2
2022-02-21 22:58:22 status half-configured libprocps8:amd64 2:3.3.16-1ubuntu2
2022-02-21 22:58:22 status installed libprocps8:amd64 2:3.3.16-1ubuntu2
2022-02-21 22:58:22 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:58:22 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:58:22 status installed libc-bin:amd64 2.31-0ubuntu9
